IATA,IACO,name,city,province,state,country,wiki,lat,lng
MCV,YMHU,McArthur River Airport,McArthur River,, Northern Territory, Australia,http://en.wikipedia.org/wiki/McArthur_River_Airport_%28Australia%29#,-16.4433,136.0783
BOB,NTTB,Bora Bora Airport (Motu Mute Airport),Bora Bora,,, French Polynesia,http://en.wikipedia.org/wiki/Bora_Bora_Airport#,-16.4436,-151.7525
LPM,NVSL,Malekoula Island Airport (Lamap Airport),Lamap,, Malampa, Vanuatu,http://en.wikipedia.org/wiki/Malekoula_Island_Airport#,-16.454,167.823
LBS,NFNL,Labasa Airport,Labasa,,, Fiji,http://en.wikipedia.org/wiki/Labasa_Airport#,-16.4667,179.3399
LPB,SLLP,El Alto International Airport,La Paz,,, Bolivia,http://en.wikipedia.org/wiki/El_Alto_International_Airport#,-16.5136,-68.1828
KAB,FVKB,Kariba Airport,Kariba,,, Zimbabwe,http://en.wikipedia.org/wiki/Kariba_Airport#,-16.5192,28.8856
MKP,NTGM,Makemo Airport,Makemo,,, French Polynesia,http://en.wikipedia.org/wiki/Makemo_Airport#,-16.5833,-143.65
LNB,NVSM,Lamen Bay Airport,Lamen Bay, Epi Island, Shéfa Province, Vanuatu,http://en.wikipedia.org/wiki/Lamen_Bay_Airport#,-16.5842,168.1592
GYN,SBGO,Santa Genoveva Airport,Goiânia,, Goiás, Brazil,http://en.wikipedia.org/wiki/Santa_Genoveva_Airport#,-16.6297,-49.2267
GYL,YARG,Argyle Airport,Argyle,, Western Australia, Australia,http://en.wikipedia.org/wiki/Argyle_Airport#,-16.6369,128.45
FAC,NTKF,Faaite Airport,Faaite,,, French Polynesia,http://en.wikipedia.org/wiki/Faaite_Airport#,-16.6867,-145.3328
HUH,NTTH,Fare Airport,Huahine,, Society Islands, French Polynesia,http://en.wikipedia.org/wiki/Fare_Airport#,-16.6881,-151.0261
MOC,SBMK,Montes Claros Airport,Montes Claros,, Minas Gerais, Brazil,http://en.wikipedia.org/wiki/Montes_Claros_Airport#,-16.7044,-43.8203
BPY,FMNQ,Besalampy Airport,Besalampy,,, Madagascar,http://en.wikipedia.org/wiki/Besalampy_Airport#,-16.7419,44.4814
LUC,NFNH,Laucala Island Airport,Laucala Island,,, Fiji,http://en.wikipedia.org/w/index.php?title=Laucala_Island_Airport&action=edit&redlink=1#,-16.7481,-179.6669
CNS,YBCS,Cairns International Airport,Cairns,, Queensland, Australia,http://en.wikipedia.org/wiki/Cairns_International_Airport#,-16.8867,145.755
MRG,YMBA,Mareeba Airport,Mareeba,, Queensland, Australia,http://en.wikipedia.org/wiki/Mareeba_Airport#,-17.0708,145.4219
SMS,FMMS,Sainte Marie Airport,Île Sainte-Marie,,, Madagascar,http://en.wikipedia.org/wiki/Sainte_Marie_Airport#,-17.0833,49.8167
EAE,NVSE,Siwo Airport,Sangafa, Emae, Shéfa, Vanuatu,http://en.wikipedia.org/wiki/Siwo_Airport#,-17.09,168.342
KXF,NFNO,Koro Airport,Koro Island,,, Fiji,http://en.wikipedia.org/wiki/Koro_Airport#,-17.3458,179.4219
AAA,NTGA,Anaa Airport,Anaa,, Tuamotus, French Polynesia,http://en.wikipedia.org/wiki/Anaa_Airport#,-17.3542,-145.4961
DRB,YDBY,Derby Airport,Derby,, Western Australia, Australia,http://en.wikipedia.org/wiki/Derby_Airport#,-17.3714,123.6594
CBB,SLCB,Jorge Wilstermann International Airport,Cochabamba,,, Bolivia,http://en.wikipedia.org/wiki/Jorge_Wilstermann_International_Airport#,-17.4211,-66.1769
KRB,YKMB,Karumba Airport,Karumba,, Queensland, Australia,http://en.wikipedia.org/wiki/Karumba_Airport#,-17.4558,140.8303
MOZ,NTTM,Moorea Airport (Temae Airport),Moorea,, Windward Islands, French Polynesia,http://en.wikipedia.org/wiki/Moorea_Airport#,-17.4917,-149.7606
HHZ,NTGH,Hikueru Atoll Airport,Hikueru Atoll,,, French Polynesia,http://en.wikipedia.org/w/index.php?title=Hikueru_Atoll_Airport&action=edit&redlink=1#,-17.5447,-142.6144
PPT,NTAA,Faa'a International Airport,Papeete,, Tahiti, French Polynesia,http://en.wikipedia.org/wiki/Faa%27a_International_Airport#,-17.5567,-149.6114
