IATA,IACO,name,city,province,state,country,wiki,lat,lng
YLS,,Lebel-sur-Quévillon Airport (TC: CSH4),Lebel-sur-Quévillon,, Quebec, Canada,http://en.wikipedia.org/wiki/Lebel-sur-Qu%C3%A9villon_Airport#,,
YQL,CYQL,Lethbridge County Airport,Lethbridge,, Alberta, Canada,http://en.wikipedia.org/wiki/Lethbridge_County_Airport#,49.6303,-112.7997
ZGR,CZGR,Little Grand Rapids Airport,Little Grand Rapids,, Manitoba, Canada,http://en.wikipedia.org/wiki/Little_Grand_Rapids_Airport#,52.0456,-95.4658
YLL,CYLL,Lloydminster Airport,Lloydminster,, Alberta/Saskatchewan, Canada,http://en.wikipedia.org/wiki/Lloydminster_Airport#,53.3092,-110.0725
YXU,CYXU,London International Airport,London,, Ontario, Canada,http://en.wikipedia.org/wiki/London_International_Airport#,43.0356,-81.1539
YBX,CYBX,Lourdes-de-Blanc-Sablon Airport,Lourdes-de-Blanc-Sablon,, Quebec, Canada,http://en.wikipedia.org/wiki/Lourdes-de-Blanc-Sablon_Airport#,51.4436,-57.1853
YDN,CYDN,Lt. Col W.G. (Billy) Barker VC Airport,Dauphin,, Manitoba, Canada,http://en.wikipedia.org/wiki/Lt._Col_W.G._%28Billy%29_Barker_VC_Airport#,51.1008,-100.0525
YSG,,Lutselke/Snowdrift Airport,Lutselke (formerly Snowdrift),, Northwest Territories, Canada,http://en.wikipedia.org/w/index.php?title=Lutselke/Snowdrift_Airport&action=edit&redlink=1#,62.41,-110.6822
YAJ,,Lyall Harbour Airport,Lyall Harbour,, British Columbia, Canada,http://en.wikipedia.org/w/index.php?title=Lyall_Harbour_Airport&action=edit&redlink=1#,48.8,-123.2
YYL,CYYL,Lynn Lake Airport,Lynn Lake,, Manitoba, Canada,http://en.wikipedia.org/wiki/Lynn_Lake_Airport#,56.8639,-101.0761
YDK,CYDK,Main Duck Island Airport,Main Duck Island,, Ontario, Canada,http://en.wikipedia.org/w/index.php?title=Main_Duck_Island_Airport&action=edit&redlink=1#,,
